Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
18/05/2024,PA008,Perth,New York,First Class,625.00,Yes,2,Egg Free
29/03/2024,PA002,New York,London,Economy,"1,515.00",Yes,2,
29/05/2024,PA008,Perth,New York,Economy,"3,435.00",Yes,2,Egg Free
16/03/2024,PA011,Perth,Tokyo,Economy,"2,305.00",Yes,2,Vegetarian
07/08/2024,PA006,Tokyo,London,Business Class,460.80,Yes,1,Dairy Free
16/09/2024,PA001,London,New York,Premium Economy,507.50,Yes,0,Nut Free
22/09/2024,PA012,Tokyo,Perth,Economy,"1,550.00",Yes,1,Nut Free
04/04/2024,PA012,Tokyo,Perth,Business Class,583.20,Yes,1,Vegetarian
28/08/2024,PA011,Perth,Tokyo,Premium Economy,780.00,Yes,2,Vegan
14/06/2024,PA005,London,Tokyo,Business Class,421.20,Yes,0,
27/06/2024,PA007,New York,Perth,Economy,"2,060.00",Yes,1,Nut Free
08/11/2024,PA002,New York,London,Premium Economy,865.00,Yes,3,Vegetarian
27/10/2024,PA002,New York,London,Economy,"2,780.00",Yes,2,Egg Free
24/11/2024,PA011,Perth,Tokyo,Business Class,415.20,Yes,3,Vegan
27/03/2024,PA003,London,Perth,Business Class,426.00,Yes,0,Egg Free
11/09/2024,PA010,Tokyo,New York,First Class,692.00,Yes,2,Vegetarian
23/12/2024,PA006,Tokyo,London,Premium Economy,"1,380.00",Yes,1,Egg Free
14/05/2024,PA008,Perth,New York,Economy,"2,435.00",Yes,0,Vegetarian
03/07/2024,PA012,Tokyo,Perth,Premium Economy,"1,582.50",Yes,1,Egg Free
14/03/2024,PA008,Perth,New York,Premium Economy,"1,127.50",Yes,1,
03/07/2024,PA008,Perth,New York,Premium Economy,"1,457.50",Yes,1,Egg Free
04/02/2024,PA001,London,New York,Business Class,793.20,Yes,0,
12/07/2024,PA007,New York,Perth,First Class,346.00,Yes,0,Dairy Free
02/06/2024,PA010,Tokyo,New York,Business Class,649.20,Yes,1,
28/09/2024,PA003,London,Perth,Premium Economy,937.50,Yes,1,Egg Free
09/08/2024,PA004,Perth,London,Business Class,547.20,Yes,3,Vegetarian
28/05/2024,PA010,Tokyo,New York,Economy,"3,295.00",Yes,1,Egg Free
11/03/2024,PA011,Perth,Tokyo,First Class,438.00,Yes,3,
26/07/2024,PA005,London,Tokyo,Premium Economy,510.00,Yes,1,Dairy Free
01/06/2024,PA006,Tokyo,London,Business Class,782.40,Yes,0,Vegetarian
28/03/2024,PA010,Tokyo,New York,Business Class,568.80,Yes,3,Egg Free
16/12/2024,PA006,Tokyo,London,Economy,"3,150.00",Yes,2,Vegan
09/11/2024,PA010,Tokyo,New York,First Class,613.00,Yes,1,Egg Free
07/07/2024,PA009,New York,Tokyo,Economy,"2,700.00",Yes,2,Nut Free
03/10/2024,PA005,London,Tokyo,Economy,"1,150.00",Yes,3,
12/01/2024,PA010,Tokyo,New York,Business Class,313.20,Yes,3,Vegan
30/08/2024,PA009,New York,Tokyo,Economy,"2,875.00",Yes,1,Dairy Free
23/01/2024,PA009,New York,Tokyo,First Class,603.00,Yes,1,Egg Free
17/04/2024,PA011,Perth,Tokyo,First Class,362.00,Yes,2,Dairy Free
24/11/2024,PA005,London,Tokyo,First Class,322.00,Yes,3,Vegetarian
20/11/2024,PA011,Perth,Tokyo,First Class,678.00,Yes,1,Egg Free
16/12/2024,PA004,Perth,London,Premium Economy,"1,410.00",Yes,1,Egg Free
15/06/2024,PA005,London,Tokyo,Economy,"1,775.00",Yes,1,Egg Free
23/06/2024,PA010,Tokyo,New York,Business Class,291.60,Yes,2,Dairy Free
05/06/2024,PA008,Perth,New York,First Class,316.00,Yes,3,Egg Free
24/10/2024,PA010,Tokyo,New York,Business Class,333.60,Yes,2,Egg Free
28/02/2024,PA009,New York,Tokyo,First Class,403.00,Yes,3,
06/06/2024,PA001,London,New York,Business Class,570.00,Yes,2,
20/09/2024,PA010,Tokyo,New York,Premium Economy,"1,305.00",Yes,0,Egg Free
19/02/2024,PA004,Perth,London,First Class,260.00,Yes,1,Dairy Free
10/12/2024,PA011,Perth,Tokyo,Economy,"2,830.00",Yes,2,Vegan
12/11/2024,PA009,New York,Tokyo,First Class,344.00,Yes,2,Vegan
28/09/2024,PA009,New York,Tokyo,Economy,"3,390.00",Yes,2,Dairy Free
02/10/2024,PA001,London,New York,First Class,517.00,Yes,2,Vegan
12/08/2024,PA006,Tokyo,London,Premium Economy,615.00,Yes,3,Vegetarian
07/10/2024,PA008,Perth,New York,First Class,642.00,Yes,3,Vegetarian
04/04/2024,PA005,London,Tokyo,First Class,521.00,Yes,0,Nut Free
30/07/2024,PA003,London,Perth,First Class,612.00,Yes,1,Vegetarian
29/05/2024,PA009,New York,Tokyo,Business Class,294.00,Yes,0,Nut Free
04/01/2024,PA002,New York,London,First Class,684.00,Yes,1,Dairy Free
16/01/2024,PA007,New York,Perth,Business Class,406.80,Yes,3,
09/08/2024,PA003,London,Perth,Premium Economy,"1,572.50",Yes,3,Nut Free
13/07/2024,PA010,Tokyo,New York,First Class,403.00,Yes,1,Nut Free
13/10/2024,PA012,Tokyo,Perth,Premium Economy,"1,352.50",Yes,0,Dairy Free
20/07/2024,PA011,Perth,Tokyo,First Class,606.00,Yes,1,Egg Free
27/08/2024,PA005,London,Tokyo,Economy,"3,080.00",Yes,2,Vegetarian
25/03/2024,PA002,New York,London,Premium Economy,"1,342.50",Yes,2,Dairy Free
09/08/2024,PA006,Tokyo,London,Business Class,658.80,Yes,2,Vegan
22/05/2024,PA006,Tokyo,London,Premium Economy,"1,660.00",Yes,3,Egg Free
14/01/2024,PA012,Tokyo,Perth,First Class,379.00,Yes,0,Egg Free
06/09/2024,PA006,Tokyo,London,Business Class,272.40,Yes,1,Vegan
11/04/2024,PA011,Perth,Tokyo,Economy,"1,410.00",Yes,0,Nut Free
01/09/2024,PA005,London,Tokyo,Business Class,243.60,Yes,1,
18/11/2024,PA008,Perth,New York,Premium Economy,"1,127.50",Yes,1,
31/12/2024,PA005,London,Tokyo,First Class,247.00,Yes,3,Nut Free
03/08/2024,PA011,Perth,Tokyo,Economy,"2,695.00",Yes,0,Nut Free
31/05/2024,PA009,New York,Tokyo,First Class,484.00,Yes,1,
19/12/2024,PA006,Tokyo,London,First Class,216.00,Yes,1,Egg Free
07/02/2024,PA001,London,New York,Business Class,266.40,Yes,0,
24/01/2024,PA012,Tokyo,Perth,Economy,"3,370.00",Yes,0,Vegan
21/01/2024,PA012,Tokyo,Perth,Business Class,422.40,Yes,0,Vegetarian
18/04/2024,PA003,London,Perth,First Class,350.00,Yes,1,Egg Free
11/07/2024,PA011,Perth,Tokyo,First Class,237.00,Yes,2,Vegetarian
19/11/2024,PA006,Tokyo,London,Premium Economy,"1,295.00",Yes,3,
19/12/2024,PA001,London,New York,Business Class,571.20,Yes,1,Dairy Free
03/02/2024,PA008,Perth,New York,Business Class,421.20,Yes,3,Dairy Free
06/02/2024,PA004,Perth,London,First Class,306.00,Yes,2,Dairy Free
10/04/2024,PA011,Perth,Tokyo,Economy,"1,695.00",Yes,0,Vegetarian
21/11/2024,PA006,Tokyo,London,Business Class,367.20,Yes,0,
16/02/2024,PA003,London,Perth,First Class,618.00,Yes,3,Nut Free
02/12/2024,PA001,London,New York,Premium Economy,"1,037.50",Yes,3,Vegetarian
11/08/2024,PA008,Perth,New York,Business Class,294.00,Yes,3,Vegan
11/12/2024,PA008,Perth,New York,Business Class,834.00,Yes,0,Egg Free
09/04/2024,PA008,Perth,New York,Premium Economy,"1,307.50",Yes,0,
06/03/2024,PA006,Tokyo,London,Premium Economy,"1,220.00",Yes,2,Nut Free
25/10/2024,PA007,New York,Perth,First Class,485.00,Yes,3,Dairy Free
11/07/2024,PA002,New York,London,Economy,"3,080.00",Yes,2,Nut Free
13/03/2024,PA005,London,Tokyo,First Class,518.00,Yes,1,Dairy Free
24/01/2024,PA011,Perth,Tokyo,Economy,"3,060.00",Yes,3,Vegan
17/09/2024,PA001,London,New York,Economy,"2,000.00",Yes,3,Vegan
08/08/2024,PA001,London,New York,First Class,627.00,Yes,1,Nut Free
23/12/2024,PA009,New York,Tokyo,Premium Economy,922.50,Yes,2,Egg Free
14/05/2024,PA001,London,New York,Business Class,583.20,Yes,2,Vegan
15/02/2024,PA008,Perth,New York,Premium Economy,"1,732.50",Yes,3,Nut Free
02/10/2024,PA010,Tokyo,New York,Premium Economy,927.50,Yes,3,Vegetarian
16/09/2024,PA001,London,New York,Economy,"2,415.00",Yes,2,
10/07/2024,PA009,New York,Tokyo,Premium Economy,"1,142.50",Yes,2,
12/08/2024,PA003,London,Perth,Economy,"2,750.00",Yes,1,Dairy Free
06/03/2024,PA012,Tokyo,Perth,Economy,"1,380.00",Yes,0,Egg Free
28/01/2024,PA004,Perth,London,Economy,"2,990.00",Yes,3,Nut Free
24/07/2024,PA012,Tokyo,Perth,Premium Economy,"1,075.00",Yes,0,Vegetarian
17/01/2024,PA010,Tokyo,New York,Premium Economy,"1,325.00",Yes,0,Nut Free
01/03/2024,PA004,Perth,London,Premium Economy,"1,447.50",Yes,3,
02/09/2024,PA006,Tokyo,London,First Class,642.00,Yes,1,Vegetarian
23/10/2024,PA009,New York,Tokyo,Premium Economy,740.00,Yes,0,Egg Free
16/07/2024,PA012,Tokyo,Perth,Economy,"1,170.00",Yes,2,Dairy Free
04/04/2024,PA009,New York,Tokyo,First Class,691.00,Yes,3,Egg Free
31/07/2024,PA005,London,Tokyo,Business Class,577.20,Yes,3,Nut Free
22/10/2024,PA006,Tokyo,London,Premium Economy,"1,020.00",Yes,1,Egg Free
24/08/2024,PA004,Perth,London,Economy,"2,985.00",Yes,2,Vegan
23/03/2024,PA003,London,Perth,Premium Economy,"1,302.50",Yes,3,Vegetarian
20/07/2024,PA007,New York,Perth,Premium Economy,"1,677.50",Yes,0,Dairy Free
11/05/2024,PA005,London,Tokyo,Business Class,747.60,Yes,1,Nut Free
30/11/2024,PA004,Perth,London,Premium Economy,"1,357.50",Yes,2,Nut Free
20/04/2024,PA006,Tokyo,London,Economy,"3,015.00",Yes,0,Nut Free
19/02/2024,PA008,Perth,New York,Economy,"2,515.00",Yes,2,Egg Free
27/04/2024,PA007,New York,Perth,First Class,689.00,Yes,0,Vegan
10/11/2024,PA009,New York,Tokyo,Premium Economy,"1,225.00",Yes,3,Nut Free
29/03/2024,PA009,New York,Tokyo,First Class,500.00,Yes,1,Egg Free
17/01/2024,PA005,London,Tokyo,Premium Economy,942.50,Yes,3,Nut Free
17/03/2024,PA001,London,New York,Economy,"2,880.00",Yes,0,
02/09/2024,PA007,New York,Perth,First Class,570.00,Yes,1,Vegan
25/09/2024,PA003,London,Perth,Business Class,762.00,Yes,0,Vegan
21/07/2024,PA002,New York,London,Economy,"2,340.00",Yes,0,Nut Free
07/09/2024,PA005,London,Tokyo,First Class,388.00,Yes,0,Vegetarian
07/11/2024,PA007,New York,Perth,First Class,345.00,Yes,3,Nut Free
02/08/2024,PA002,New York,London,Premium Economy,"1,667.50",Yes,3,Vegetarian
28/08/2024,PA001,London,New York,Economy,"1,925.00",Yes,2,Dairy Free
24/02/2024,PA005,London,Tokyo,First Class,688.00,Yes,3,Egg Free
14/04/2024,PA005,London,Tokyo,Premium Economy,665.00,Yes,1,Nut Free
24/10/2024,PA009,New York,Tokyo,Economy,"3,235.00",Yes,0,Vegetarian
31/03/2024,PA007,New York,Perth,Premium Economy,935.00,Yes,3,Vegan
29/06/2024,PA002,New York,London,Business Class,452.40,Yes,1,Vegan
19/01/2024,PA005,London,Tokyo,Economy,"2,525.00",Yes,3,Egg Free
04/04/2024,PA003,London,Perth,Economy,"1,325.00",Yes,1,Nut Free
10/08/2024,PA008,Perth,New York,First Class,251.00,Yes,1,
05/05/2024,PA006,Tokyo,London,Economy,"1,310.00",Yes,0,Vegan
02/12/2024,PA001,London,New York,Premium Economy,"1,255.00",Yes,2,Dairy Free
10/07/2024,PA011,Perth,Tokyo,Business Class,241.20,Yes,2,Egg Free
21/09/2024,PA007,New York,Perth,Premium Economy,807.50,Yes,0,Nut Free
08/10/2024,PA008,Perth,New York,Business Class,414.00,Yes,0,Vegetarian
07/10/2024,PA008,Perth,New York,Economy,"2,685.00",Yes,3,Vegan
04/10/2024,PA004,Perth,London,Premium Economy,945.00,Yes,1,Egg Free
08/10/2024,PA003,London,Perth,Business Class,758.40,Yes,1,Egg Free
15/09/2024,PA006,Tokyo,London,Premium Economy,"1,090.00",Yes,2,Vegan
29/07/2024,PA001,London,New York,Premium Economy,"1,477.50",Yes,1,Dairy Free
27/09/2024,PA012,Tokyo,Perth,Business Class,657.60,Yes,2,Vegetarian
28/09/2024,PA011,Perth,Tokyo,Business Class,580.80,Yes,2,
23/09/2024,PA008,Perth,New York,Economy,"1,205.00",Yes,1,Dairy Free
30/07/2024,PA007,New York,Perth,Premium Economy,"1,632.50",Yes,2,Dairy Free
15/03/2024,PA004,Perth,London,First Class,449.00,Yes,2,Vegan
24/04/2024,PA011,Perth,Tokyo,Economy,"1,870.00",Yes,1,Vegetarian
14/11/2024,PA004,Perth,London,Economy,"2,290.00",Yes,2,Nut Free
07/07/2024,PA002,New York,London,Business Class,530.40,Yes,3,Nut Free
02/03/2024,PA001,London,New York,First Class,323.00,Yes,0,Vegan
08/05/2024,PA006,Tokyo,London,First Class,440.00,Yes,2,
02/09/2024,PA012,Tokyo,Perth,Premium Economy,570.00,Yes,3,Nut Free
19/05/2024,PA010,Tokyo,New York,First Class,362.00,Yes,2,
19/10/2024,PA002,New York,London,Premium Economy,"1,130.00",Yes,0,
03/10/2024,PA008,Perth,New York,Economy,"1,140.00",Yes,0,Vegan
10/06/2024,PA004,Perth,London,First Class,478.00,Yes,3,Nut Free
02/02/2024,PA002,New York,London,Economy,"1,530.00",Yes,0,Nut Free
29/08/2024,PA007,New York,Perth,Economy,"1,265.00",Yes,3,Nut Free
30/11/2024,PA001,London,New York,First Class,401.00,Yes,3,Nut Free
05/12/2024,PA004,Perth,London,Business Class,609.60,Yes,0,
29/11/2024,PA009,New York,Tokyo,Economy,"2,375.00",Yes,0,Vegetarian
25/10/2024,PA010,Tokyo,New York,First Class,466.00,Yes,1,Nut Free
28/08/2024,PA005,London,Tokyo,Premium Economy,"1,122.50",Yes,2,Dairy Free
15/06/2024,PA001,London,New York,Premium Economy,"1,005.00",Yes,3,Vegan
26/12/2024,PA008,Perth,New York,First Class,297.00,Yes,3,
17/05/2024,PA002,New York,London,Premium Economy,"1,547.50",Yes,2,Dairy Free
30/07/2024,PA004,Perth,London,First Class,552.00,Yes,0,
04/11/2024,PA008,Perth,New York,Business Class,432.00,Yes,0,Egg Free
20/10/2024,PA006,Tokyo,London,Premium Economy,802.50,Yes,1,
29/03/2024,PA012,Tokyo,Perth,Business Class,508.80,Yes,2,Dairy Free
26/07/2024,PA002,New York,London,Economy,"2,885.00",Yes,0,Vegetarian
04/10/2024,PA003,London,Perth,Business Class,711.60,Yes,1,Egg Free
01/12/2024,PA010,Tokyo,New York,Premium Economy,"1,677.50",Yes,0,Nut Free
09/03/2024,PA012,Tokyo,Perth,Premium Economy,840.00,Yes,0,Nut Free
23/08/2024,PA002,New York,London,Economy,"2,010.00",Yes,2,Dairy Free
25/06/2024,PA005,London,Tokyo,Premium Economy,"1,152.50",Yes,2,
16/04/2024,PA003,London,Perth,Premium Economy,825.00,Yes,3,Dairy Free
11/06/2024,PA005,London,Tokyo,First Class,468.00,Yes,1,Nut Free
13/08/2024,PA007,New York,Perth,Business Class,302.40,Yes,2,
20/05/2024,PA001,London,New York,Business Class,799.20,Yes,0,Nut Free
15/01/2024,PA009,New York,Tokyo,Business Class,397.20,Yes,3,Dairy Free
21/05/2024,PA001,London,New York,First Class,493.00,Yes,0,Vegan
07/06/2024,PA008,Perth,New York,Economy,"2,110.00",Yes,0,Egg Free
23/01/2024,PA011,Perth,Tokyo,First Class,635.00,Yes,2,
31/07/2024,PA002,New York,London,First Class,392.00,Yes,0,
05/09/2024,PA006,Tokyo,London,Economy,"3,345.00",Yes,3,
21/01/2024,PA009,New York,Tokyo,Business Class,352.80,Yes,0,Egg Free
15/04/2024,PA011,Perth,Tokyo,First Class,334.00,Yes,1,
01/10/2024,PA012,Tokyo,Perth,First Class,382.00,Yes,1,
17/01/2024,PA002,New York,London,Business Class,672.00,Yes,2,Vegan
22/03/2024,PA011,Perth,Tokyo,First Class,563.00,Yes,0,Nut Free
23/02/2024,PA012,Tokyo,Perth,Business Class,472.80,Yes,0,Dairy Free
09/12/2024,PA011,Perth,Tokyo,Economy,"3,460.00",Yes,0,Vegan
19/05/2024,PA009,New York,Tokyo,Business Class,685.20,Yes,3,Egg Free
12/02/2024,PA005,London,Tokyo,Premium Economy,"1,157.50",Yes,0,Vegan
25/04/2024,PA001,London,New York,First Class,295.00,Yes,3,
08/10/2024,PA003,London,Perth,Business Class,655.20,Yes,1,Egg Free
12/02/2024,PA011,Perth,Tokyo,First Class,207.00,Yes,3,Vegetarian
26/06/2024,PA008,Perth,New York,Premium Economy,"1,592.50",Yes,0,Vegan
09/11/2024,PA012,Tokyo,Perth,First Class,275.00,Yes,2,Vegetarian
22/05/2024,PA006,Tokyo,London,Business Class,660.00,Yes,1,Vegan
05/08/2024,PA007,New York,Perth,Business Class,481.20,Yes,3,Egg Free
10/05/2024,PA011,Perth,Tokyo,Premium Economy,"1,277.50",Yes,2,Egg Free
11/02/2024,PA012,Tokyo,Perth,Business Class,595.20,Yes,1,
25/07/2024,PA004,Perth,London,Business Class,822.00,Yes,1,Nut Free
25/12/2024,PA004,Perth,London,Business Class,303.60,Yes,2,Vegan
27/06/2024,PA012,Tokyo,Perth,Business Class,835.20,Yes,2,Dairy Free
09/08/2024,PA008,Perth,New York,First Class,665.00,Yes,3,
15/04/2024,PA006,Tokyo,London,First Class,678.00,Yes,1,Egg Free
05/10/2024,PA012,Tokyo,Perth,Business Class,252.00,Yes,1,
12/06/2024,PA007,New York,Perth,Business Class,721.20,Yes,3,Vegetarian
23/10/2024,PA002,New York,London,Business Class,276.00,Yes,2,Nut Free
05/06/2024,PA005,London,Tokyo,First Class,539.00,Yes,0,Dairy Free
01/05/2024,PA010,Tokyo,New York,Economy,"1,250.00",Yes,0,Vegan
18/10/2024,PA001,London,New York,Business Class,331.20,Yes,1,
10/09/2024,PA012,Tokyo,Perth,Business Class,823.20,Yes,0,Vegan
09/08/2024,PA007,New York,Perth,Business Class,241.20,Yes,3,Dairy Free
27/08/2024,PA002,New York,London,Business Class,470.40,Yes,1,Nut Free
15/02/2024,PA011,Perth,Tokyo,First Class,371.00,Yes,0,Nut Free
21/11/2024,PA003,London,Perth,First Class,469.00,Yes,1,Vegetarian
02/02/2024,PA001,London,New York,Business Class,358.80,Yes,0,Vegan
13/12/2024,PA008,Perth,New York,First Class,208.00,Yes,2,Nut Free
02/07/2024,PA003,London,Perth,First Class,357.00,Yes,0,Dairy Free
02/11/2024,PA007,New York,Perth,Premium Economy,885.00,Yes,2,Nut Free
29/09/2024,PA002,New York,London,Business Class,260.40,Yes,0,Vegetarian
24/07/2024,PA009,New York,Tokyo,Economy,"2,040.00",Yes,2,Dairy Free
16/08/2024,PA008,Perth,New York,Premium Economy,765.00,Yes,1,Nut Free
21/08/2024,PA010,Tokyo,New York,Economy,"1,225.00",Yes,2,Nut Free
18/03/2024,PA002,New York,London,Premium Economy,"1,617.50",Yes,3,Vegetarian
20/12/2024,PA001,London,New York,First Class,473.00,Yes,1,
03/02/2024,PA005,London,Tokyo,Business Class,330.00,Yes,3,Vegan
17/08/2024,PA001,London,New York,Premium Economy,522.50,Yes,1,Vegan
25/08/2024,PA002,New York,London,First Class,370.00,Yes,1,
18/09/2024,PA011,Perth,Tokyo,Business Class,694.80,Yes,0,Dairy Free
16/02/2024,PA010,Tokyo,New York,First Class,340.00,Yes,1,
01/05/2024,PA005,London,Tokyo,Economy,"1,810.00",Yes,0,Dairy Free
08/09/2024,PA006,Tokyo,London,Economy,"1,865.00",Yes,1,Dairy Free
10/07/2024,PA010,Tokyo,New York,Economy,"2,920.00",Yes,3,Vegan
29/03/2024,PA007,New York,Perth,First Class,698.00,Yes,3,Vegan
07/02/2024,PA004,Perth,London,Premium Economy,"1,045.00",Yes,0,Egg Free
11/03/2024,PA010,Tokyo,New York,First Class,561.00,Yes,0,
28/11/2024,PA004,Perth,London,Economy,"1,220.00",Yes,3,Egg Free
12/06/2024,PA001,London,New York,Business Class,328.80,Yes,1,Egg Free
28/02/2024,PA003,London,Perth,First Class,660.00,Yes,1,Vegan
12/11/2024,PA006,Tokyo,London,Business Class,546.00,Yes,1,Vegan
28/05/2024,PA007,New York,Perth,First Class,622.00,Yes,0,Egg Free
13/04/2024,PA010,Tokyo,New York,First Class,283.00,Yes,3,Dairy Free
06/05/2024,PA004,Perth,London,Economy,"1,905.00",Yes,0,Nut Free
11/11/2024,PA011,Perth,Tokyo,Premium Economy,"1,080.00",Yes,2,Vegetarian
21/10/2024,PA008,Perth,New York,Premium Economy,"1,212.50",Yes,2,Nut Free
02/12/2024,PA004,Perth,London,Economy,"2,870.00",Yes,2,Vegetarian
15/11/2024,PA001,London,New York,Premium Economy,"1,590.00",Yes,3,Vegetarian
25/10/2024,PA006,Tokyo,London,Business Class,726.00,Yes,1,Dairy Free
17/01/2024,PA010,Tokyo,New York,Premium Economy,"1,417.50",Yes,1,Vegan
14/04/2024,PA011,Perth,Tokyo,Business Class,249.60,Yes,1,Nut Free
26/08/2024,PA007,New York,Perth,Business Class,342.00,Yes,3,Dairy Free
05/11/2024,PA009,New York,Tokyo,Economy,"2,825.00",Yes,3,Vegetarian
27/04/2024,PA001,London,New York,First Class,633.00,Yes,0,Egg Free
10/03/2024,PA010,Tokyo,New York,Premium Economy,"1,480.00",Yes,2,
28/06/2024,PA002,New York,London,Economy,"1,890.00",Yes,1,Vegetarian
01/05/2024,PA002,New York,London,Business Class,697.20,Yes,1,Dairy Free
05/04/2024,PA003,London,Perth,First Class,315.00,Yes,3,Egg Free
10/11/2024,PA008,Perth,New York,First Class,554.00,Yes,1,Egg Free
02/12/2024,PA001,London,New York,First Class,543.00,Yes,2,Vegetarian
09/05/2024,PA003,London,Perth,Business Class,796.80,Yes,0,
04/08/2024,PA008,Perth,New York,Economy,"1,740.00",Yes,1,Dairy Free
02/07/2024,PA009,New York,Tokyo,Business Class,694.80,Yes,2,Dairy Free
27/06/2024,PA007,New York,Perth,Premium Economy,720.00,Yes,2,Vegan
21/03/2024,PA005,London,Tokyo,Economy,"1,370.00",Yes,0,Vegan
14/04/2024,PA004,Perth,London,Business Class,362.40,Yes,0,Dairy Free
13/02/2024,PA010,Tokyo,New York,Premium Economy,"1,647.50",Yes,0,Dairy Free
28/06/2024,PA001,London,New York,Business Class,550.80,Yes,2,Vegetarian
26/05/2024,PA006,Tokyo,London,First Class,349.00,Yes,1,Nut Free
22/10/2024,PA007,New York,Perth,First Class,458.00,Yes,0,
01/10/2024,PA006,Tokyo,London,Business Class,343.20,Yes,2,Vegetarian
06/11/2024,PA006,Tokyo,London,Premium Economy,"1,207.50",Yes,0,
22/02/2024,PA008,Perth,New York,First Class,254.00,Yes,3,Dairy Free
24/05/2024,PA009,New York,Tokyo,Business Class,514.80,Yes,3,Egg Free
30/04/2024,PA012,Tokyo,Perth,Premium Economy,"1,452.50",Yes,0,Vegetarian
01/02/2024,PA011,Perth,Tokyo,Economy,"2,425.00",Yes,2,Nut Free
25/07/2024,PA009,New York,Tokyo,Premium Economy,750.00,Yes,0,Vegetarian
01/11/2024,PA012,Tokyo,Perth,First Class,608.00,Yes,1,
25/11/2024,PA010,Tokyo,New York,Economy,"2,930.00",Yes,2,Egg Free
08/11/2024,PA009,New York,Tokyo,First Class,431.00,Yes,3,Vegan
07/02/2024,PA001,London,New York,Business Class,249.60,Yes,0,
15/11/2024,PA005,London,Tokyo,First Class,424.00,Yes,1,Nut Free
05/11/2024,PA003,London,Perth,First Class,660.00,Yes,0,Vegan
29/12/2024,PA010,Tokyo,New York,Business Class,603.60,Yes,3,Egg Free
11/02/2024,PA007,New York,Perth,Business Class,824.40,Yes,3,Dairy Free
07/12/2024,PA009,New York,Tokyo,Economy,"1,615.00",Yes,1,Vegetarian
29/10/2024,PA007,New York,Perth,First Class,477.00,Yes,1,Dairy Free
22/08/2024,PA003,London,Perth,Economy,"2,360.00",Yes,2,Vegetarian
31/01/2024,PA004,Perth,London,First Class,289.00,Yes,2,Nut Free
11/06/2024,PA001,London,New York,Premium Economy,"1,340.00",Yes,2,Nut Free
05/01/2024,PA012,Tokyo,Perth,Business Class,336.00,Yes,3,Vegetarian
30/06/2024,PA006,Tokyo,London,Business Class,685.20,Yes,3,Dairy Free
11/07/2024,PA002,New York,London,Premium Economy,777.50,Yes,3,Vegan
29/07/2024,PA001,London,New York,First Class,384.00,Yes,0,Vegan
13/08/2024,PA010,Tokyo,New York,Business Class,289.20,Yes,1,Vegetarian
29/07/2024,PA012,Tokyo,Perth,First Class,554.00,Yes,2,Nut Free
05/07/2024,PA010,Tokyo,New York,Premium Economy,670.00,Yes,0,Egg Free
01/02/2024,PA011,Perth,Tokyo,First Class,623.00,Yes,2,
16/10/2024,PA006,Tokyo,London,Premium Economy,"1,255.00",Yes,3,Nut Free
12/09/2024,PA002,New York,London,Premium Economy,"1,407.50",Yes,0,Vegetarian
25/01/2024,PA001,London,New York,Business Class,565.20,Yes,1,Nut Free
07/09/2024,PA008,Perth,New York,Business Class,698.40,Yes,3,Egg Free
13/12/2024,PA012,Tokyo,Perth,Premium Economy,"1,092.50",Yes,2,
22/02/2024,PA002,New York,London,Premium Economy,"1,027.50",Yes,2,
15/02/2024,PA005,London,Tokyo,Economy,"1,800.00",Yes,0,
22/06/2024,PA011,Perth,Tokyo,Economy,"2,725.00",Yes,2,Nut Free
17/03/2024,PA005,London,Tokyo,Economy,"2,350.00",Yes,2,Nut Free
04/03/2024,PA008,Perth,New York,Premium Economy,"1,215.00",Yes,0,
15/12/2024,PA006,Tokyo,London,Premium Economy,"1,140.00",Yes,2,Dairy Free
02/01/2024,PA010,Tokyo,New York,Business Class,507.60,Yes,2,Egg Free
13/11/2024,PA011,Perth,Tokyo,First Class,353.00,Yes,2,Vegetarian
13/07/2024,PA006,Tokyo,London,Economy,"3,375.00",Yes,2,Nut Free
12/09/2024,PA004,Perth,London,Economy,"1,645.00",Yes,0,Vegetarian
27/02/2024,PA002,New York,London,First Class,325.00,Yes,0,Vegan
04/08/2024,PA007,New York,Perth,Economy,"2,390.00",Yes,0,
05/09/2024,PA001,London,New York,Premium Economy,"1,202.50",Yes,0,Egg Free
13/08/2024,PA007,New York,Perth,Premium Economy,815.00,Yes,0,Nut Free
04/06/2024,PA009,New York,Tokyo,Premium Economy,"1,525.00",Yes,2,
18/12/2024,PA012,Tokyo,Perth,Economy,"2,565.00",Yes,3,Nut Free
14/05/2024,PA002,New York,London,Business Class,667.20,Yes,2,Vegan
29/07/2024,PA003,London,Perth,Premium Economy,615.00,Yes,1,Nut Free
03/06/2024,PA007,New York,Perth,First Class,636.00,Yes,1,Egg Free
09/02/2024,PA005,London,Tokyo,First Class,519.00,Yes,2,Vegetarian
10/03/2024,PA008,Perth,New York,Premium Economy,"1,737.50",Yes,1,Vegetarian
27/11/2024,PA011,Perth,Tokyo,First Class,509.00,Yes,1,Vegetarian
26/06/2024,PA002,New York,London,First Class,335.00,Yes,0,Vegan
07/10/2024,PA002,New York,London,First Class,684.00,Yes,2,Nut Free
29/10/2024,PA003,London,Perth,Economy,"2,720.00",Yes,3,
12/10/2024,PA009,New York,Tokyo,Business Class,478.80,Yes,1,Egg Free
19/09/2024,PA007,New York,Perth,First Class,231.00,Yes,2,Nut Free
